Change;Excluded;Original;en;it
;;"A launcher that fires projectiles containing the 
distilled essence of an entire library, overwhelming enemies with knowledge but causing cerebral hemorrhaging in the user.";"A launcher that fires projectiles containing the 
distilled essence of an entire library, overwhelming enemies with knowledge but causing cerebral hemorrhaging in the user.";"Un lanciatore che spara proiettili contenenti l'
essenza distillata di un'intera biblioteca, travolgendo i nemici con la conoscenza ma causando un'emorragia cerebrale nell'utilizzatore."
;;EHI Apocalypse Fists;EHI Apocalypse Fists;Pugni apocalittici EHI
;;"Gauntlets containing all the world's oil reserves 
in compressed form, granting godlike strength but causing rapid cellular degeneration.";"Gauntlets containing all the world's oil reserves 
in compressed form, granting godlike strength but causing rapid cellular degeneration.";"Guanti contenenti tutte le riserve mondiali di petrolio
in forma compressa, che conferiscono una forza divina ma causano una rapida degenerazione cellulare."
;;EHI Petroleum Omniscience;EHI Petroleum Omniscience;Petroleum Onniscienza EHI
;;"A staff containing the complete oil-based 
knowledge of the universe, granting cosmic power at the cost of the user's sanity and lifespan.";"A staff containing the complete oil-based 
knowledge of the universe, granting cosmic power at the cost of the user's sanity and lifespan.";Un bastone contenente la conoscenza completa dell'universo basata sul petrolio, che conferisce potere cosmico a scapito della sanità mentale e della durata della vita di chi lo usa.
;;Mind Projector Staff;Mind Projector Staff;Bastone proiettante
;;"A staff that amplifies psychic abilities, allowing
the wielder to project mental attacks directly into enemies' minds.";"A staff that amplifies psychic abilities, allowing
the wielder to project mental attacks directly into enemies' minds.";"Un bastone che amplifica le capacità psichiche, consentendo
a chi lo impugna di proiettare attacchi mentali direttamente nella mente dei nemici."
;;Telekinetic Gauntlets;Telekinetic Gauntlets;Guanti telecinetici
;;"Gauntlets that amplify telekinetic abilities, 
allowing the wielder to strike enemies from a distance with psychic force.";"Gauntlets that amplify telekinetic abilities, 
allowing the wielder to strike enemies from a distance with psychic force.";"Guanti che amplificano le capacità telecinetiche,
permettendo a chi li impugna di colpire i nemici a distanza con la forza psichica."
;;Psionic Edge;Psionic Edge;Bordo psionico
;;"A crystal blade that channels psychic energy, 
cutting through mental defenses and physical armor alike.";"A crystal blade that channels psychic energy, 
cutting through mental defenses and physical armor alike.";"Una lama di cristallo che canalizza l'energia psichica,
superando sia le difese mentali che quelle fisiche."
;;Mind Arrow Bow;Mind Arrow Bow;Arco freccia mentale
;;"A bow that fires arrows of pure mental energy, 
bypassing physical defenses to damage the target's psyche.";"A bow that fires arrows of pure mental energy, 
bypassing physical defenses to damage the target's psyche.";"Un arco che scocca frecce di pura energia mentale,
aggirando le difese fisiche e danneggiando la psiche del bersaglio."
;;Psychic Crown;Psychic Crown;Corona psichica
;;"A crown that focuses mental energy into 
devastating psychic attacks against all nearby enemies.";"A crown that focuses mental energy into 
devastating psychic attacks against all nearby enemies.";"Una corona che concentra l'energia mentale in
attacchi psichici devastanti contro tutti i nemici vicini."
;;Brainwave Amplifier;Brainwave Amplifier;Amplificatore di onde cerebrali
;;"A device that amplifies and focuses brainwaves 
into concentrated beams of destructive mental energy.";"A device that amplifies and focuses brainwaves 
into concentrated beams of destructive mental energy.";"Un dispositivo che amplifica e concentra le onde cerebrali
in fasci concentrati di energia mentale distruttiva."
;;Force Crush Gloves;Force Crush Gloves;Guanti Spaccacristalli
;;"Gloves embedded with crystals that channel 
telekinetic force to crush opponents from within.";"Gloves embedded with crystals that channel 
telekinetic force to crush opponents from within.";"Guanti con cristalli incastonati che incanalano
la forza telecinetica per schiacciare gli avversari dall'interno."
;;Memory Thief;Memory Thief;Ladro di memoria
;;"A dagger that absorbs the thoughts and memories of
those it cuts, transferring knowledge to the wielder.";"A dagger that absorbs the thoughts and memories of
those it cuts, transferring knowledge to the wielder.";"Un pugnale che assorbe i pensieri e i ricordi
di coloro che colpisce, trasferendo la conoscenza a chi lo impugna."
;;Mind Shield Circlet;Mind Shield Circlet;Cerchietto scudo mentale
;;"A circlet that creates powerful force fields to 
protect allies while reflecting psychic damage back at attackers.";"A circlet that creates powerful force fields to 
protect allies while reflecting psychic damage back at attackers.";"Un cerchietto che crea potenti campi di forza per
proteggere gli alleati e riflettere i danni psichici sugli aggressori."
;;Spell Absorber;Spell Absorber;Assorbitore di incantesimi
;;"A staff wrapped in magical wards that absorbs 
hostile spells and stores their energy for later use.";"A staff wrapped in magical wards that absorbs 
hostile spells and stores their energy for later use.";"Un bastone avvolto in protezioni magiche che assorbe
gli incantesimi ostili e ne immagazzina l'energia per un uso successivo."
;;Wardbreaker Blade;Wardbreaker Blade;Lama Spezzaguardia
;;"A sword crafted with enchantments specifically 
designed to cut through magical protections and wards.";"A sword crafted with enchantments specifically 
designed to cut through magical protections and wards.";"Una spada forgiata con incantesimi specificamente
progettati per penetrare protezioni e difese magiche."
;;Spellbreaker Crossbow;Spellbreaker Crossbow;Balestra Spezzaincantesimi
;;"A crossbow enchanted to fire bolts that disrupt 
magical energy, temporarily nullifying a target's magical abilities.";"A crossbow enchanted to fire bolts that disrupt 
magical energy, temporarily nullifying a target's magical abilities.";"Una balestra incantata per scagliare dardi che interrompono
l'energia magica, annullando temporaneamente le abilità magiche del bersaglio."
;;Spellcrusher Maul;Spellcrusher Maul;Maglio schiacciaincantesimi
;;"A hammer infused with anti-magic properties that 
shatters magical constructs and barriers with ease.";"A hammer infused with anti-magic properties that 
shatters magical constructs and barriers with ease.";"Un martello dotato di proprietà anti-magia che
frantuma facilmente costrutti e barriere magiche."
;;Barrier Staff;Barrier Staff;Bastone barriera
;;"A staff that creates powerful barriers of magical 
energy to protect the wielder and allies from harm.";"A staff that creates powerful barriers of magical 
energy to protect the wielder and allies from harm.";"Un bastone che crea potenti barriere di energia magica
per proteggere chi lo impugna e gli alleati dai danni."
;;Arcane Blade;Arcane Blade;Lama arcana
;;"A sword with a blade of pure magical energy that 
causes devastating arcane damage.";"A sword with a blade of pure magical energy that 
causes devastating arcane damage.";"Una spada con una lama di pura energia magica che
provoca devastanti danni arcani."
;;Spellseeker Bow;Spellseeker Bow;Arco cercatore diincantesimi
;;"A bow that fires arrows of concentrated magical 
energy that seek out and strike their targets with unerring accuracy.";"A bow that fires arrows of concentrated magical 
energy that seek out and strike their targets with unerring accuracy.";"Un arco che scocca frecce di energia magica concentrata
che cercano e colpiscono i loro bersagli con precisione infallibile."
;;Arcane Shield Gauntlets;Arcane Shield Gauntlets;Guanti dello scudo arcano
;;"Gauntlets that create shields of pure magical 
energy to protect against physical and magical attacks.";"Gauntlets that create shields of pure magical 
energy to protect against physical and magical attacks.";"Guanti che creano scudi di pura energia magica
per proteggere dagli attacchi fisici e magici."
;;Elemental Warden Staff;Elemental Warden Staff;Bastone del guardiano elementale
;;"A staff imbued with protection magic that can 
create impenetrable barriers against specific elemental attacks.";"A staff imbued with protection magic that can 
create impenetrable barriers against specific elemental attacks.";"Un bastone intriso di magia protettiva che può
creare barriere impenetrabili contro specifici attacchi elementali."
;;Divine Smiter;Divine Smiter;Disintegralama divina
;;"A golden sword that channels divine magic to smite
evil and undead with holy power.";"A golden sword that channels divine magic to smite
evil and undead with holy power.";"Una spada dorata che incanala la magia divina per sconfiggere
il male e i non morti con il potere sacro."
;;Warding Spear;Warding Spear;Lancia protettiva
;;"A spear wrapped in protective enchantments that 
create fields of defensive magic around the wielder.";"A spear wrapped in protective enchantments that 
create fields of defensive magic around the wielder.";"Una lancia avvolta in incantesimi protettivi che
creano campi di magia difensiva attorno a chi la impugna."
;;Arcane Sphere;Arcane Sphere;Sfera Arcana
;;"A magical orb that surrounds the wielder with 
protective energy while launching devastating arcane attacks.";"A magical orb that surrounds the wielder with 
protective energy while launching devastating arcane attacks.";"Un globo magico che circonda chi lo impugna con
energia protettiva, lanciando al contempo devastanti attacchi arcani."
;;Spelldrainer Edge;Spelldrainer Edge;Lama drena-incantesimi
;;"A black blade that absorbs magical attacks and 
converts them into additional cutting power.";"A black blade that absorbs magical attacks and 
converts them into additional cutting power.";"Una lama nera che assorbe gli attacchi magici e
li converte in ulteriore potere di taglio."
;;Psychic Amplifier Crown;Psychic Amplifier Crown;Amplificaore psichico
;;"A circlet that projects the wearer's thoughts as 
devastating psychic attacks while providing mental shields.";"A circlet that projects the wearer's thoughts as 
devastating psychic attacks while providing mental shields.";"Un cerchietto che proietta i pensieri di chi lo indossa come
attacchi psichici devastanti, fornendo al contempo scudi mentali."
;;Mind Piercer;Mind Piercer;Perfora-mente
;;"A rifle that fires bullets of concentrated psychic
energy that penetrate mental defenses.";"A rifle that fires bullets of concentrated psychic
energy that penetrate mental defenses.";"Un fucile che spara proiettili di energia psichica concentrata
che penetrano le difese mentali."
;;Mind Ripper Claws;Mind Ripper Claws;Artigli strappa-mente
;;"Crystal claws that channel psychic energy to tear 
through both physical armor and mental barriers.";"Crystal claws that channel psychic energy to tear 
through both physical armor and mental barriers.";"Artigli di cristallo che incanalano l'energia psichica per squarciare
sia le armature fisiche che le barriere mentali."
;;Mindlash Whip;Mindlash Whip;Frusta dei pensieri
;;"A whip made of concentrated thought energy that 
lashes both body and mind.";"A whip made of concentrated thought energy that 
lashes both body and mind.";"Una frusta fatta di energia di pensiero concentrata che
colpisce sia il corpo che la mente."
;;Thought Crusher;Thought Crusher;Schiacciapensieri
;;"A hammer that shatters not only physical forms but
the very thoughts of its targets.";"A hammer that shatters not only physical forms but
the very thoughts of its targets.";"Un martello che frantuma non solo le forme fisiche, ma
anche i pensieri stessi dei suoi bersagli."
;;Mind Manipulator Gloves;Mind Manipulator Gloves;Guanti della manipolazione mentale
;;"Gloves that allow the wearer to reach directly 
into the minds of enemies, extracting or altering thoughts.";"Gloves that allow the wearer to reach directly 
into the minds of enemies, extracting or altering thoughts.";"Guanti che consentono a chi li indossa di raggiungere direttamente
la mente dei nemici, estraendone o alterandone i pensieri."
